"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41"
"138",0,11,77,50,3,35,95,65,58,45,20,40,0,59,43,2,26,70,74,0,6,84,93,83,29,31,14,2,6,70,65,99,95,87,76,0,41,87,78,7,3
"139",0,27,78,79,0,53,97,91,66,3,62,44,11,60,3,0,0,23,77,0,0,25,100,82,46,44,69,43,0,72,82,24,9,29,64,31,81,90,69,13,3
"140",52,82,92,73,7,8,21,5,88,37,0,18,76,67,1,80,88,76,63,5,8,0,0,28,73,0,0,0,18,95,26,15,42,92,42,65,88,76,25,0,3
"141",0,0,0,54,14,22,12,0,59,37,68,41,0,71,34,85,77,46,89,71,94,100,100,100,28,32,54,28,94,4,0,0,29,94,1,0,0,5,72,0,4
"142",0,0,0,64,9,0,52,5,79,16,12,92,7,81,9,72,91,19,87,6,73,88,88,98,68,0,0,34,84,1,0,0,68,59,0,0,0,51,24,0,4
"143",0,0,0,4,77,0,13,2,40,90,1,67,60,40,76,42,98,94,90,92,75,89,40,59,85,20,17,0,47,71,0,0,0,48,70,0,0,0,12,61,4
"144",0,0,0,24,69,25,22,0,56,76,56,37,0,87,50,100,56,39,99,18,59,55,89,95,8,0,0,73,62,9,0,4,99,100,63,0,0,72,74,13,4
"145",1,0,0,65,19,42,21,18,86,10,51,48,21,68,0,98,58,77,43,0,68,87,100,67,32,0,10,100,22,4,0,27,98,6,0,0,0,68,49,0,4
"146",0,31,0,25,50,0,83,16,50,79,31,97,31,66,43,95,100,64,95,47,56,89,77,100,58,0,18,37,93,4,0,0,54,70,0,0,0,27,47,0,4
"147",0,0,0,10,53,0,33,0,33,66,52,57,0,50,47,99,64,44,75,45,49,60,52,99,69,0,0,24,91,1,0,0,45,71,0,0,0,33,54,0,4
"148",0,25,17,47,23,0,66,20,81,18,22,88,15,80,0,84,88,70,65,21,94,96,98,95,75,9,0,63,23,0,0,0,65,58,0,0,0,54,33,0,4
"149",4,72,1,49,0,37,61,10,81,0,62,72,57,73,11,98,89,93,93,59,48,1,83,23,0,0,15,90,0,0,0,36,63,0,0,0,21,53,0,0,4
"150",0,0,7,6,56,0,23,74,29,66,11,79,60,59,50,74,100,91,91,54,59,30,23,95,48,0,0,37,82,3,0,0,69,100,18,0,0,48,65,0,4
"151",0,25,0,48,30,0,87,86,92,44,7,99,64,55,3,42,100,97,72,3,24,89,26,24,38,31,3,0,6,75,73,85,70,74,80,0,48,77,83,24,5
"152",0,21,50,10,52,0,61,95,91,35,6,82,35,11,0,27,96,54,24,0,0,58,71,85,37,52,3,0,10,83,57,82,32,77,74,3,56,99,93,18,5
"153",0,3,23,81,29,0,55,98,96,20,7,96,78,6,0,36,95,93,41,0,12,54,21,61,29,70,36,15,37,64,73,100,100,98,90,3,38,89,96,39,5
"154",0,2,38,82,3,0,68,92,47,0,5,91,36,0,0,49,100,97,69,18,20,65,16,0,71,0,0,0,27,84,89,87,92,92,84,50,96,98,73,20,5
"155",0,34,5,62,49,5,86,85,90,18,27,78,9,3,0,16,99,75,25,0,1,55,41,67,15,37,54,34,26,64,70,100,95,95,89,8,47,81,63,21,5
"156",0,0,0,40,20,2,36,37,88,3,14,95,87,28,0,44,71,18,6,0,57,100,100,96,34,13,30,12,32,91,20,17,30,70,88,59,98,97,60,20,5
"157",6,47,0,30,69,26,90,73,89,28,67,24,37,9,0,92,43,26,3,0,35,60,68,76,0,44,24,16,36,39,68,100,100,100,58,11,73,96,81,3,5
"158",0,13,69,95,63,57,91,88,31,6,89,57,5,0,0,48,40,0,0,0,2,56,17,0,0,0,2,59,8,0,47,62,59,69,0,7,60,85,97,11,5
"159",0,39,97,90,37,34,90,25,16,49,61,19,0,0,0,39,67,3,0,0,1,47,80,16,0,35,0,30,87,7,58,32,21,84,54,26,83,100,74,17,5
"160",0,27,69,100,65,8,94,69,28,15,10,93,9,0,0,0,79,26,0,0,0,18,83,13,0,15,0,20,86,8,90,51,27,65,74,31,81,100,97,76,5
"161",0,14,94,11,0,0,74,94,14,0,42,100,34,0,0,82,60,37,40,0,97,31,100,100,51,94,82,77,17,77,68,100,82,60,37,25,94,88,51,2,6
"162",0,0,75,6,0,0,43,90,5,0,4,96,50,0,0,36,99,70,65,6,74,61,79,56,53,89,56,57,7,74,68,82,98,73,55,33,95,84,34,0,6
"163",1,0,12,58,0,26,0,18,22,0,0,48,56,0,0,9,92,14,0,0,39,63,57,70,35,73,24,96,51,69,60,26,82,74,33,30,87,84,24,0,6
"164",0,0,63,0,0,0,32,56,0,0,7,65,7,0,0,23,41,0,2,2,51,6,30,95,76,67,0,67,21,73,78,46,80,66,27,23,80,80,31,0,6
"165",0,1,73,0,0,0,48,57,0,0,5,75,4,0,0,35,30,0,13,11,62,9,62,92,81,62,35,43,3,60,84,69,71,84,38,29,98,100,49,0,6
"166",0,0,81,6,0,0,17,68,0,0,0,72,24,0,0,2,73,0,5,4,40,40,13,62,42,78,11,52,3,0,79,31,63,37,18,23,88,90,49,28,6
"167",0,0,43,83,0,0,12,93,29,0,2,73,41,0,0,46,75,1,0,0,81,87,80,81,37,97,77,14,25,87,73,79,21,41,74,9,71,97,85,24,6
"168",0,0,38,95,5,0,9,92,48,2,0,70,71,0,0,28,85,12,0,0,61,55,8,11,1,88,74,97,97,62,73,94,32,17,94,19,88,96,86,63,6
"169",0,0,59,42,0,0,18,79,4,0,0,74,19,0,0,26,70,0,0,0,61,31,9,49,32,78,33,83,56,79,87,78,9,31,71,35,93,96,73,16,6
"170",0,28,36,0,0,0,64,8,0,0,0,61,0,0,0,18,45,0,12,22,57,14,42,84,87,66,51,56,5,80,89,57,16,76,40,48,92,74,27,0,6
"171",0,9,52,82,42,75,85,59,9,77,90,35,1,2,85,31,0,0,34,78,0,0,1,65,39,0,0,44,85,2,0,15,96,27,0,0,38,57,0,0,7
"172",68,58,65,60,68,63,56,19,15,78,0,0,0,40,62,0,0,0,65,35,0,0,38,84,3,0,1,91,38,0,0,19,91,1,0,0,25,61,0,0,7
"173",19,52,75,72,18,97,75,19,82,80,71,16,45,99,39,0,1,87,84,0,0,17,99,55,0,0,35,100,21,0,0,45,89,4,0,0,23,93,21,0,7
"174",41,89,83,50,4,98,41,15,52,76,6,0,9,82,90,0,0,41,100,69,0,12,92,99,5,0,76,100,35,0,15,100,87,1,0,0,68,88,0,0,7
"175",16,84,69,55,56,73,35,2,0,62,18,0,0,6,52,0,0,0,43,28,0,0,9,66,0,0,0,48,28,0,0,10,75,0,0,0,35,24,0,0,7
"176",10,86,73,75,54,76,56,11,1,84,60,0,0,32,48,0,0,3,81,7,0,0,25,44,0,0,0,62,13,0,0,0,73,0,0,0,11,48,0,0,7
"177",0,19,78,86,8,34,95,84,60,59,83,87,20,25,88,17,5,0,57,84,0,0,5,92,52,0,2,63,82,5,0,46,96,15,0,0,29,68,0,0,7
"178",0,48,2,1,0,2,56,56,80,80,34,78,18,0,63,70,5,0,31,43,10,0,0,66,1,0,0,14,53,0,0,0,58,7,0,0,0,72,5,0,7
"179",23,52,74,78,84,83,43,23,4,66,1,0,0,0,62,0,0,0,26,45,0,0,0,64,17,0,0,17,67,0,0,2,74,14,0,0,20,81,0,0,7
"180",83,87,65,26,0,30,52,58,92,50,0,0,0,32,80,0,0,0,32,71,0,0,0,80,25,0,0,56,53,0,0,41,80,1,0,22,85,8,0,0,7
"181",41,84,77,41,19,93,86,56,89,78,65,71,56,79,1,4,77,100,33,0,5,95,49,90,2,62,66,0,54,60,91,61,33,63,56,30,77,96,92,33,8
"182",23,75,89,84,11,91,86,66,41,37,99,11,0,4,17,55,73,26,60,2,68,90,78,12,0,81,41,0,51,4,77,52,19,78,19,14,50,82,69,7,8
